AREASQKM21,cnt,density,index,pop_den,rain,ndvi,lst,ntl,nat_rto,crop_rto,resid_rto,x,y
1681.0088,3453,-0.201045429,1,0.083359069,1.393346168,2.47335048,-1.791750655,-0.09579491,0.258490268,-0.381156448,-0.380572398,151.2854887,-33.30797362
13229.7577,4550,-0.373836886,2,-0.324798816,1.730414001,2.407084787,-1.38512674,-0.367715853,0.533995693,-0.007135262,-0.841685955,152.7738909,-29.81602459
21491.2917,4829,-0.385882966,3,-0.321220417,0.580992218,1.961789722,-1.855737133,-0.324571258,0.446277209,0.580006154,-0.814105419,150.984939,-32.35480975
1539.2405,3449,-0.182192998,4,0.078833466,1.486555912,2.423863479,-1.999199509,0.1475575,-0.193863114,-0.133835952,-0.513899485,150.7711215,-34.43464747
18851.4986,4705,-0.38336853,5,-0.322443183,1.65412144,2.519564265,-1.678320069,-0.366253119,0.300044856,0.028435463,-0.836397145,152.3410755,-31.56475375
870.5821,3180,-0.039529281,6,0.577986699,1.303060963,2.015960476,-1.615949826,0.542602998,-0.248413264,-0.441002646,0.164954888,151.5762823,-32.99658966
10271.3201,4368,-0.365618627,7,-0.296466257,1.870360726,2.377369682,-1.176998245,-0.349178481,0.194649747,0.714949869,-0.764302158,153.0637565,-28.74360702
6704.9619,4297,-0.343834636,8,-0.298998003,0.976274156,1.932567998,-2.085684328,-0.346168177,0.563209624,-0.057109911,-0.724947131,150.3658057,-34.87399697
3251.4981,3728,-0.29274293,9,-0.189643504,0.814438785,2.121344471,-1.812490044,-0.262023686,0.966697317,-0.438425026,-0.58567919,150.8288423,-33.36854408
240.8835,1933,0.402188441,10,2.701599136,0.547057228,0.902070752,-1.566168848,3.845847321,-0.886173947,-0.264856277,1.064647568,150.8642863,-33.74069645
66.1035,1478,1.850459455,11,8.945400263,1.394168783,0.099890118,-1.443144428,13.83848846,-1.048825953,-0.504544073,1.326944306,151.1925705,-33.91745737
57.7342,1933,2.974193143,12,9.96908035,1.594232506,0.852852532,-1.429783615,4.721170578,-0.96757954,-0.499278365,1.302080721,151.2482631,-33.9157827
163.9272,2201,0.947989933,13,7.252346969,0.951134501,0.528304426,-1.564464582,4.294405093,-1.020045224,-0.504885114,1.385199386,151.0640975,-33.94171682
64.5491,1303,1.630939926,14,9.257372651,1.152640228,0.398775533,-1.444488871,5.235343658,-1.048825953,-0.504885114,1.318103086,151.1188316,-33.8733267
275.0994,3251,0.785408828,15,2.857255976,1.428895313,1.979615437,-1.698527322,1.286164881,-0.016171357,-0.504885114,0.383151354,151.1599191,-33.69384898
254.2072,3025,0.793713452,16,1.818001546,1.63398192,2.064437443,-1.662152312,0.661166166,0.099046223,-0.504885114,0.292469422,151.2496758,-33.69022404
1277.2421,3566,-0.126498322,17,0.097759336,0.594520838,1.950627638,-1.933238942,0.156456008,-0.032146331,-0.131289775,-0.1944001,150.6815554,-34.12275889
3968.1294,4418,-0.296095038,18,-0.173168151,0.777178883,1.882186389,-2.095495562,-0.176616746,1.044380424,-0.423977725,-0.593883279,150.3804465,-33.87415044
162.835,2241,0.98190819,19,5.513110634,0.816926261,0.605999705,-1.501627032,5.882167882,-1.034458728,-0.504885114,1.44333292,151.0046663,-33.82602283
69.3368,2178,2.765137078,20,5.197735142,1.230218444,1.320359333,-1.574968687,3.242259338,-0.819749253,-0.504885114,1.211222997,151.1008196,-33.7873555
540.279,2467,0.052759846,21,1.261189646,0.475016801,1.345165721,-1.729132203,1.662072996,-0.74663183,-0.001154204,0.798692508,150.8169701,-33.93196518
295.8525,2555,0.463965121,22,1.297638582,1.230533126,2.015599278,-1.783170166,0.475859462,0.535171533,-0.503715728,-0.123382706,151.0631077,-34.0753595
10287.4757,2852,-0.380575092,23,-0.314100709,0.060789846,1.655187743,-2.242454517,-0.347054702,-0.399801774,2.049888756,-0.628851999,143.7346353,-37.37555079
11841.9058,2609,-0.386325139,24,-0.319813656,-0.303196312,1.045761341,-1.678751633,-0.359158784,-0.407095695,2.300738956,-0.680756422,144.0944594,-36.60066603
4428.699,3202,-0.335535285,25,-0.212301367,-0.048047095,1.704594044,-2.331384651,-0.237225558,-0.57590577,2.427938265,-0.568498861,144.1265676,-38.11096133
34006.4765,3831,-0.397203072,26,-0.337266795,0.912990813,1.985235071,-2.182931709,-0.370593093,0.221357864,1.012959282,-0.824637634,146.4136936,-36.77614687
41553.1093,4991,-0.396449715,27,-0.333431586,0.654207078,2.177038604,-2.466889349,-0.363747783,0.450838795,0.582359666,-0.827439829,147.4116162,-37.73050117
142.4579,2308,1.228322153,28,8.145618115,-0.006563314,0.047468655,-2.029163661,8.747421153,-1.043766689,-0.504885114,1.432032316,144.9644906,-37.80018958
